Source,Target,Amount,LND1,LND2: c/300000.0,LND2: c/10.0
3339,614,62,"[[3339, 634, 1969, 48, 614], 5.06827, 160, 5, 'Success']","[[3339, 634, 6467, 3099, 12325, 613, 614], 5.062, 234, 7, 'Success']","[[3339, 634, 6467, 3099, 12325, 613, 614], 5.062, 234, 7, 'Success']"
1769,4303,418,"[[1769, 595, 547, 12445, 794, 4303], 0.32025000000000003, 582, 6, 'Success']","[[1769, 595, 1139, 2232, 7042, 167, 3183, 4303], 0.00351, 270, 8, 'Success']","[[1769, 595, 1139, 2232, 7042, 167, 3183, 4303], 0.00351, 270, 8, 'Success']"
7289,5403,7353,"[[7289, 6274, 6073, 855, 5403], 24.54438, 264, 5, 'Success']","[[7289, 6274, 3083, 5965, 855, 5403], 23.534010000000002, 408, 6, 'Success']","[[7289, 6274, 3083, 5965, 855, 5403], 23.534010000000002, 408, 6, 'Success']"
3959,10492,62863,"[[3959, 88, 392, 21, 10492], 7.49906, 160, 5, 'Success']","[[3959, 2584, 167, 1573, 1566, 21, 10492], 2.75436, 220, 7, 'Success']","[[3959, 2584, 167, 1573, 1566, 21, 10492], 2.75436, 220, 7, 'Success']"
6692,3661,499566,"[[6692, 189, 8534, 78, 3661], 1029.83918, 540, 5, 'Success']","[[6692, 189, 12651, 84, 2861, 3642, 576, 3661], 18.220509999999997, 274, 8, 'Success']","[[6692, 189, 12651, 84, 2861, 3642, 576, 3661], 18.220509999999997, 274, 8, 'Success']"
2081,6958,1258740,"[[2081, 2741, 576, 233, 6958], 141.46892000000003, 214, 5, 'Success']","[[2081, 2741, 576, 445, 5965, 3297, 6764, 3896, 4816, 6958], 11.301210000000001, 414, 10, 'Success']","[[2081, 2741, 576, 445, 5965, 3297, 6764, 3896, 4816, 6958], 11.301210000000001, 414, 10, 'Success']"
12686,2909,11341208,"[[12686, 4784, 137, 2909], 7260.26705, 234, 4, 'Success']","[[12686, 4784, 3642, 167, 56, 175, 71, 2909], 6309.280949999999, 330, 8, 'Success']","[[12686, 4784, 3642, 167, 56, 175, 71, 2909], 6309.280949999999, 330, 8, 'Success']"
1231,5308,7,"[[1231, 182, 314, 5308], 1.00201, 224, 4, 'Success']","[[1231, 182, 11837, 167, 351, 5308], 1.0000200000000001, 162, 6, 'Success']","[[1231, 182, 11837, 167, 351, 5308], 1.0000200000000001, 162, 6, 'Success']"
406,7130,29,"[[406, 1560, 1139, 7130], 0.08728999999999999, 120, 4, 'Success']","[[406, 1560, 1139, 7130], 0.08728999999999999, 120, 4, 'Success']","[[406, 1560, 1139, 7130], 0.08728999999999999, 120, 4, 'Success']"
10061,12968,772,"[[10061, 10181, 10164, 12768, 12968], 0.00077, 160, 5, 'Success']","[[10061, 10181, 10164, 12768, 12968], 0.00077, 160, 5, 'Success']","[[10061, 10181, 10164, 12768, 12968], 0.00077, 160, 5, 'Success']"
8472,2737,4600,"[[8472, 2605, 6861, 189, 2737], 9.62, 540, 5, 'Success']","[[8472, 2605, 6861, 189, 2737], 9.62, 540, 5, 'Success']","[[8472, 2605, 6861, 189, 2737], 9.62, 540, 5, 'Success']"
41,3256,40609,"[[41, 855, 3256], 8.1218, 112, 3, 'Success']","[[41, 8723, 12325, 9401, 8758, 8217, 3256], 1.44671, 234, 7, 'Success']","[[41, 8723, 12325, 9401, 8758, 8217, 3256], 1.44671, 234, 7, 'Success']"
3249,6974,732081,"[[3249, 50, 18, 6974], 44.24663, 120, 4, 'Success']","[[3249, 12277, 12188, 8782, 6722, 18, 6974], 5.19624, 240, 7, 'Success']","[[3249, 12277, 12188, 8782, 6722, 18, 6974], 5.19624, 240, 7, 'Success']"
